Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min
Doomfist,Silver,3.46,"0.16","37.64",16.33,7.08,94,7274,,8.11
Doomfist,Gold,3.30,"0.38","52.78",16.00,6.97,96,6978,,8.09
Doomfist,Platinum,3.55,"0.27","40.98",16.58,7.32,94,7304,,7.98
Doomfist,Diamond,3.19,"0.24","35.00",15.48,6.80,86,7141,,8.55
Doomfist,Master,3.35,"0.23","36.07",15.93,7.25,91,7170,,8.33
Doomfist,Grandmaster,3.37,"0.27","36.18",15.99,7.25,91,7182,,8.33
Brigitte,All,4.71,"1.48","51.12",13.19,5.74,97,3720,7556,8.26
Brigitte,Bronze,4.40,"1.08","41.31",12.78,5.79,109,3686,7205,8.51
Brigitte,Silver,4.46,"1.35","52.68",12.93,5.81,108,3699,7296,8.58
Brigitte,Gold,4.77,"1.48","51.23",13.65,6.10,101,3804,7570,8.40
Brigitte,Platinum,4.45,"1.03","44.18",13.28,5.80,109,3768,7276,8.56
Brigitte,Diamond,4.38,"1.14","41.49",12.97,5.86,112,3747,7405,8.50
Brigitte,Master,4.35,"1.35","45.25",12.99,5.81,111,3743,7282,8.61
Brigitte,Grandmaster,4.36,"1.07","42.85",13.10,5.96,114,3757,7237,8.67
Bastion,All,2.49,"0.85","46.89",18.31,8.02,54,9327,,8.99
Bastion,Bronze,2.16,"0.74","37.12",17.19,7.88,55,8701,,9.48
Bastion,Silver,2.20,"0.82","35.95",17.06,7.37,53,8914,,9.26
Bastion,Gold,2.34,"0.94","46.91",17.63,7.64,54,8995,,9.27
Bastion,Platinum,2.13,"1.15","41.74",16.75,7.21,55,8841,,9.46
Bastion,Diamond,2.10,"0.73","34.82",16.45,7.12,56,8778,,9.45
Bastion,Master,2.17,"0.76","33.50",16.27,6.89,53,8617,,9.54
Bastion,Grandmaster,2.03,"0.88","33.30",16.21,7.02,54,8556,,9.62
Mei,All,3.75,"1.02","51.38",17.90,8.38,99,6757,,7.42
Mei,Bronze,3.50,"0.65","43.03",16.96,7.97,107,6454,,7.53
Mei,Silver,3.37,"1.25","50.13",17.02,8.26,102,6439,,7.69
Mei,Gold,3.59,"0.80","44.77",17.45,8.08,100,6852,,7.56
Mei,Platinum,3.98,"0.86","46.10",17.76,7.73,98,6656,,7.10
Mei,Diamond,3.67,"0.72","42.08",17.19,7.67,104,6621,,7.25
Mei,Master,3.42,"0.58","36.95",16.38,7.64,101,6381,,7.37
Mei,Grandmaster,3.48,"0.68","37.43",16.70,7.65,104,6479,,7.45
Torbjorn,All,2.96,"0.41","57.66",18.67,7.81,50,9353,,7.16
Torbjorn,Bronze,2.60,"0.33","54.00",16.41,6.99,57,8584,,7.50
Torbjorn,Silver,2.79,"0.31","50.07",18.05,7.20,56,9156,,7.31
Torbjorn,Gold,3.05,"0.43","56.33",18.84,7.75,49,9451,,7.17
Torbjorn,Platinum,2.98,"0.52","59.62",18.09,6.97,60,9151,,7.04
Torbjorn,Diamond,2.87,"0.37","53.83",17.47,6.77,60,8957,,6.98
Torbjorn,Master,2.85,"0.35","52.38",17.18,6.69,58,8962,,7.10
Torbjorn,Grandmaster,2.81,"0.37","52.20",17.21,6.70,60,8902,,7.20
Symmetra,All,3.83,"0.46","51.87",20.29,9.78,81,8000,,8.16
Symmetra,Bronze,4.38,"0.23","44.57",19.78,10.01,93,7471,,7.52
Symmetra,Silver,3.66,"0.37","45.10",18.66,9.98,85,7478,,8.38
Symmetra,Gold,4.09,"0.40","48.96",20.46,9.50,85,7946,,7.75
Symmetra,Platinum,3.92,"0.36","43.56",19.57,9.76,85,7572,,8.10
Symmetra,Diamond,4.02,"0.57","54.19",19.67,9.37,79,7602,,7.90
Symmetra,Master,4.06,"0.25","44.67",19.14,9.63,87,7368,,7.86
Symmetra,Grandmaster,4.11,"0.28","41.64",19.10,9.67,89,7346,,7.81
Sombra,All,5.26,"0.92","46.55",16.74,6.56,49,5044,,6.61
Sombra,Bronze,6.19,"0.57","45.90",14.79,5.42,46,4531,,7.04
Sombra,Silver,5.64,"0.79","48.01",16.81,6.45,50,4864,,6.91
Sombra,Gold,6.04,"0.77","42.43",16.21,6.32,51,4949,,6.56
Sombra,Platinum,6.67,"0.69","50.00",16.29,6.22,47,4742,,6.72
Sombra,Diamond,6.22,"1.28","51.34",15.83,5.86,44,4952,,6.62
Sombra,Master,6.72,"0.74","51.01",15.62,5.71,47,4706,,6.86
Sombra,Grandmaster,6.81,"0.69","49.42",15.53,5.72,48,4660,,6.88
Wrecking Ball,All,4.75,"0.54","48.21",17.89,9.25,144,7306,,6.13
Wrecking Ball,Bronze,4.51,"0.40","35.22",15.00,8.15,128,6837,,5.95
Wrecking Ball,Silver,4.42,"0.84","46.67",16.01,8.21,129,7158,,5.75
Wrecking Ball,Gold,5.15,"0.55","47.46",18.08,9.21,136,7238,,5.69
Wrecking Ball,Platinum,5.11,"0.40","35.00",14.96,8.02,124,6854,,5.60
Wrecking Ball,Diamond,4.07,"0.49","34.09",15.81,8.91,150,6988,,6.58
Wrecking Ball,Master,4.66,"0.48","34.68",15.97,8.62,135,7004,,6.03
Wrecking Ball,Grandmaster,4.62,"0.55","35.50",15.06,8.16,128,6882,,5.81
Junker Queen,All,3.54,"0.45","43.41",16.87,7.17,135,7670,,7.49
Junker Queen,Bronze,3.46,"0.48","38.64",15.58,6.96,145,7126,,7.28
Junker Queen,Silver,3.73,"0.43","40.17",16.69,7.18,128,7449,,7.36
Junker Queen,Gold,3.58,"0.53","42.69",16.68,7.16,152,7777,,7.27
Junker Queen,Platinum,3.37,"0.49","32.26",16.08,7.10,134,7221,,7.63
Junker Queen,Diamond,3.62,"0.56","35.64",16.36,7.24,140,7333,,7.21
Junker Queen,Master,3.57,"0.44","33.73",15.95,7.10,144,7233,,7.26
Junker Queen,Grandmaster,3.57,"0.52","33.73",15.95,7.10,144,7233,,7.26
Echo,All,2.81,"0.57","45.46",18.40,7.35,69,7655,,8.63
Echo,Bronze,2.02,"0.42","38.81",16.27,7.25,72,6764,,9.37
Echo,Silver,2.07,"0.45","30.56",16.58,7.27,67,7050,,9.40
Echo,Gold,2.83,"0.43","41.76",18.40,7.50,75,7584,,8.57
Echo,Platinum,2.09,"0.37","30.72",16.69,6.99,69,6877,,9.22
Echo,Diamond,2.68,"0.80","41.32",17.20,7.23,70,7179,,8.92
Echo,Master,2.08,"0.40","30.34",16.84,6.96,69,6858,,9.37
Echo,Grandmaster,2.01,"0.38","24.47",16.22,7.16,71,6726,,9.44
